RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Alejandro Perez,Johnny Eduardo,-300.0,235.0,33.3333,235.0,1
Alexander Volkanovski,Brian Ortega,-180.0,155.0,55.5556,155.0,1
Valentina Shevchenko,Lauren Murphy,-1375.0,800.0,7.2727,800.0,1
Nick Diaz,Robbie Lawler,140.0,-160.0,140.0,62.5,0
Curtis Blaydes,Jairzinho Rozenstruik,-380.0,290.0,26.3158,290.0,1
Jessica Andrade,Cynthia Calvillo,-220.0,180.0,45.4545,180.0,1
Marlon Moraes,Merab Dvalishvili,245.0,-310.0,245.0,32.2581,0
Dan Hooker,Nasrat Haqparast,-150.0,130.0,66.6667,130.0,1
Shamil Abdurakhimov,Chris Daukaus,180.0,-220.0,180.0,45.4545,0
Roxanne Modafferi,Taila Santos,300.0,-400.0,300.0,25.0,0
Uros Medic,Jalin Turner,-115.0,-105.0,86.9565,95.2381,0
Cody Brundage,Nick Maximov,125.0,-145.0,125.0,68.9655,0
Matthew Semelsberger,Martin Sano,-525.0,385.0,19.0476,385.0,1
Jonathan Pearce,Omar Morales,140.0,-160.0,140.0,62.5,1
Anthony Smith,Ryan Spann,-150.0,130.0,66.6667,130.0,1
Ion Cutelaba,Devin Clark,-170.0,150.0,58.8235,150.0,1
Ariane Lipski,Mandy Bohm,-125.0,105.0,80.0,105.0,1
Arman Tsarukyan,Christos Giagos,-850.0,575.0,11.7647,575.0,1
Nate Maness,Tony Gravely,170.0,-200.0,170.0,50.0,1
Joaquin Buckley,Antonio Arroyo,-180.0,155.0,55.5556,155.0,1
Mike Rodriguez,Tafon Nchukwi,105.0,-125.0,105.0,80.0,0
Pannie Kianzad,Raquel Pennington,115.0,-135.0,115.0,74.0741,0
Montel Jackson,JP Buys,-630.0,450.0,15.873,450.0,1
Erin Blanchfield,Sarah Alpar,-435.0,330.0,22.9885,330.0,1
Impa Kasanganay,Carlston Harris,-105.0,-115.0,95.2381,86.9565,0
Emily Whitmire,Hannah Goldy,-125.0,105.0,80.0,105.0,0
Derek Brunson,Darren Till,130.0,-150.0,130.0,66.6667,1
Tom Aspinall,Serghei Spivac,-240.0,195.0,41.6667,195.0,1
Alex Morono,David Zawada,-125.0,105.0,80.0,105.0,1
Modestas Bukauskas,Khalil Rountree Jr.,-160.0,140.0,62.5,140.0,0
Paddy Pimblett,Luigi Vendramini,-145.0,125.0,68.9655,125.0,1
Molly McCann,Ji Yeon Kim,-120.0,100.0,83.3333,100.0,1
Jack Shore,Liudvik Sholinian,-630.0,450.0,15.873,450.0,1
Julian Erosa,Charles Jourdain,170.0,-200.0,170.0,50.0,1
Dalcha Lungiambula,Marc-Andre Barriault,140.0,-160.0,140.0,62.5,0
Edson Barboza,Giga Chikadze,-125.0,105.0,80.0,105.0,0
Bryan Battle,Gilbert Urbina,-200.0,170.0,50.0,170.0,1
Ricky Turcios,Brady Hiestand,-145.0,125.0,68.9655,125.0,1
Kevin Lee,Daniel Rodriguez,-145.0,125.0,68.9655,125.0,0
Andre Petroski,Micheal Gillmore,-550.0,400.0,18.1818,400.0,1
Makhmud Muradov,Gerald Meerschaert,-575.0,410.0,17.3913,410.0,0
Alessio Di Chirico,Abdul Razak Alhassan,-265.0,215.0,37.7358,215.0,0
Sam Alvey,Wellington Turman,-105.0,-115.0,95.2381,86.9565,0
Dustin Jacoby,Darren Stewart,-200.0,170.0,50.0,170.0,1
JJ Aldrich,Vanessa Demopoulos,-475.0,350.0,21.0526,350.0,1
Jamall Emmers,Pat Sabatini,-150.0,130.0,66.6667,130.0,0
Mana Martinez,Guido Cannetti,-305.0,240.0,32.7869,240.0,1
Jared Cannonier,Kelvin Gastelum,-145.0,125.0,68.9655,125.0,1
Clay Guida,Mark Madsen,150.0,-170.0,150.0,58.8235,0
Parker Porter,Chase Sherman,170.0,-200.0,170.0,50.0,1
Trevin Jones,Saidyokub Kakhramonov,-150.0,130.0,66.6667,130.0,0
Vinc Pichel,Austin Hubbard,-140.0,120.0,71.4286,120.0,1
Alexandre Pantoja,Brandon Royval,-170.0,150.0,58.8235,150.0,1
Austin Lingo,Luis Saldana,100.0,-120.0,100.0,83.3333,1
Brian Kelleher,Domingo Pilarte,-170.0,150.0,58.8235,150.0,1
Bea Malecki,Josiane Nunes,-155.0,135.0,64.5161,135.0,0
William Knight,Fabio Cherant,-170.0,150.0,58.8235,150.0,1
Roosevelt Roberts,Ignacio Bahamondes,-155.0,135.0,64.5161,135.0,0
Sasha Palatnikov,Ramiz Brahimaj,145.0,-165.0,145.0,60.6061,0
Derrick Lewis,Ciryl Gane,250.0,-320.0,250.0,31.25,0
Jose Aldo,Pedro Munhoz,-105.0,-115.0,95.2381,86.9565,1
Michael Chiesa,Vicente Luque,-115.0,-105.0,86.9565,95.2381,0
Tecia Torres,Angela Hill,-160.0,140.0,62.5,140.0,1
Song Yadong,Casey Kenney,105.0,-125.0,105.0,80.0,1
Bobby Green,Rafael Fiziev,235.0,-300.0,235.0,33.3333,0
Vince Morales,Drako Rodriguez,-110.0,-110.0,90.9091,90.9091,1
Alonzo Menifield,Ed Herman,-290.0,230.0,34.4828,230.0,1
Karolina Kowalkiewicz,Jessica Penne,-145.0,125.0,68.9655,125.0,0
Manel Kape,Ode Osbourne,-200.0,170.0,50.0,170.0,1
Miles Johns,Anderson Dos Santos,-235.0,190.0,42.5532,190.0,1
Victoria Leonardo,Melissa Gatto,-105.0,-115.0,95.2381,86.9565,0
Johnny Munoz,Jamey Simmons,-350.0,270.0,28.5714,270.0,1
Uriah Hall,Sean Strickland,175.0,-210.0,175.0,47.619,0
Cheyanne Buys,Gloria de Paula,-145.0,125.0,68.9655,125.0,1
Niklas Stolze,Jared Gooden,-180.0,155.0,55.5556,155.0,0
Collin Anglin,Melsik Baghdasaryan,135.0,-155.0,135.0,64.5161,0
Bryan Barberena,Jason Witt,-265.0,215.0,37.7358,215.0,0
Chris Gruetzemacher,Rafa Garcia,270.0,-350.0,270.0,28.5714,1
Jinh Yu Frey,Ashley Yoder,140.0,-160.0,140.0,62.5,1
Ryan Benoit,Zarrukh Adashev,-140.0,120.0,71.4286,120.0,0
Phil Rowe,Orion Cosce,145.0,-165.0,145.0,60.6061,1
Cory Sandhagen,TJ Dillashaw,-210.0,175.0,47.619,175.0,0
Kyler Phillips,Raulian Paiva,-320.0,250.0,31.25,250.0,0
Darren Elkins,Darrick Minner,130.0,-155.0,130.0,64.5161,1
Miranda Maverick,Maycee Barber,-155.0,135.0,64.5161,135.0,0
Adrian Yanez,Randy Costa,-240.0,195.0,41.6667,195.0,1
Punahele Soriano,Brendan Allen,-110.0,-110.0,90.9091,90.9091,0
Nassourdine Imavov,Ian Heinisch,135.0,-155.0,135.0,64.5161,1
Mickey Gall,Jordan Williams,150.0,-170.0,150.0,58.8235,1
Julio Arce,Andre Ewell,-220.0,180.0,45.4545,180.0,1
Sijara Eubanks,Elise Reed,-410.0,310.0,24.3902,310.0,1
Diana Belbita,Hannah Goldy,-120.0,100.0,83.3333,100.0,1
Islam Makhachev,Thiago Moises,-900.0,600.0,11.1111,600.0,1
Marion Reneau,Miesha Tate,155.0,-180.0,155.0,55.5556,0
Jeremy Stephens,Mateusz Gamrot,220.0,-275.0,220.0,36.3636,0
Rodolfo Vieira,Dustin Stoltzfus,-210.0,175.0,47.619,175.0,1
Gabriel Benitez,Billy Quarantillo,-150.0,130.0,66.6667,130.0,0
Daniel Rodriguez,Preston Parsons,-300.0,235.0,33.3333,235.0,1
Amanda Lemos,Montserrat Conejo,-600.0,435.0,16.6667,435.0,1
Khalid Taha,Sergey Morozov,-140.0,120.0,71.4286,120.0,0
Francisco Figueiredo,Malcolm Gordon,-310.0,245.0,32.2581,245.0,0
Alan Baudot,Rodrigo Nascimento,310.0,-410.0,310.0,24.3902,0
Dustin Poirier,Conor McGregor,-129.0,100.0,77.5194,100.0,1
Gilbert Burns,Stephen Thompson,130.0,-162.0,130.0,61.7284,1
Tai Tuivasa,Greg Hardy,-130.0,105.0,76.9231,105.0,1
Irene Aldana,Yana Kunitskaya,-107.0,-115.0,93.4579,86.9565,1
Sean O'Malley,Kris Moutinho,-1000.0,580.0,10.0,580.0,1
Carlos Condit,Max Griffin,150.0,-190.0,150.0,52.6316,0
Niko Price,Michel Pereira,150.0,-186.0,150.0,53.7634,0
Ryan Hall,Ilia Topuria,185.0,-235.0,185.0,42.5532,0
Trevin Giles,Dricus Du Plessis,-106.0,-118.0,94.3396,84.7458,0
Jennifer Maia,Jessica Eye,-200.0,162.0,50.0,162.0,1
Omari Akhmedov,Brad Tavares,130.0,-162.0,130.0,61.7284,0
Zhalgas Zhumagulov,Jerome Rivera,-315.0,240.0,31.746,240.0,1
Ciryl Gane,Alexander Volkov,-155.0,125.0,64.5161,125.0,1
Tanner Boser,Ovince Saint Preux,-195.0,153.0,51.2821,153.0,1
Raoni Barcelos,Timur Valiev,-230.0,180.0,43.4783,180.0,0
Tim Means,Nicolas Dalby,-143.0,113.0,69.9301,113.0,1
Renato Moicano,Jai Herbert,-250.0,195.0,40.0,195.0,1
Kennedy Nzechukwu,Danilo Marques,-136.0,110.0,73.5294,110.0,1
Shavkat Rakhmonov,Michel Prazeres,-305.0,235.0,32.7869,235.0,1
Warlley Alves,Jeremiah Wells,-240.0,187.0,41.6667,187.0,0
Marcin Prachnio,Ike Villanueva,-225.0,180.0,44.4444,180.0,1
Julia Avila,Julija Stoliarenko,-375.0,275.0,26.6667,275.0,1
Charles Rosa,Justin Jaynes,-177.0,140.0,56.4972,140.0,1
Yancy Medeiros,Damir Hadzovic,120.0,-150.0,120.0,66.6667,0
Chan Sung Jung,Dan Ige,130.0,-162.0,130.0,61.7284,1
Aleksei Oleinik,Serghei Spivac,200.0,-265.0,200.0,37.7358,0
Marlon Vera,Davey Grant,-230.0,180.0,43.4783,180.0,1
Julian Erosa,SeungWoo Choi,120.0,-150.0,120.0,66.6667,0
Wellington Turman,Bruno Silva,100.0,-125.0,100.0,80.0,0
Matt Brown,Dhiego Lima,145.0,-186.0,145.0,53.7634,1
Aleksa Camur,Nicolae Negumereanu,-265.0,200.0,37.7358,200.0,0
Kanako Murata,Virna Jandiroba,112.0,-139.0,112.0,71.9424,0
Khaos Williams,Matthew Semelsberger,-162.0,130.0,61.7284,130.0,1
Josh Parisian,Roque Martinez,-155.0,120.0,64.5161,120.0,1
Joaquim Silva,Ricky Glenn,-134.0,105.0,74.6269,105.0,0
Casey O'Neill,Lara Procopio,135.0,-167.0,135.0,59.8802,1
Israel Adesanya,Marvin Vettori,-235.0,185.0,42.5532,185.0,1
Deiveson Figueiredo,Brandon Moreno,-195.0,150.0,51.2821,150.0,0
Leon Edwards,Nate Diaz,-500.0,355.0,20.0,355.0,1
Demian Maia,Belal Muhammad,170.0,-220.0,170.0,45.4545,0
Paul Craig,Jamahal Hill,210.0,-275.0,210.0,36.3636,1
Drew Dober,Brad Riddell,-152.0,120.0,65.7895,120.0,0
Eryk Anders,Darren Stewart,-150.0,120.0,66.6667,120.0,1
Lauren Murphy,Joanne Calderwood,117.0,-148.0,117.0,67.5676,1
Movsar Evloev,Hakeem Dawodu,-240.0,188.0,41.6667,188.0,1
Pannie Kianzad,Alexis Davis,-240.0,187.0,41.6667,187.0,1
Matt Frevola,Terrance McKinney,-210.0,160.0,47.619,160.0,0
Chase Hooper,Steven Peterson,-108.0,-114.0,92.5926,87.7193,0
Fares Ziam,Luigi Vendramini,-125.0,102.0,80.0,102.0,1
Carlos Felipe,Jake Collier,-165.0,130.0,60.6061,130.0,1
Jairzinho Rozenstruik,Augusto Sakai,-118.0,-106.0,84.7458,94.3396,1
Walt Harris,Marcin Tybura,140.0,-177.0,140.0,56.4972,0
Roman Dolidze,Laureano Staropoli,-150.0,120.0,66.6667,120.0,1
Santiago Ponzinibbio,Miguel Baeza,105.0,-134.0,105.0,74.6269,1
Dusko Todorovic,Gregory Rodrigues,-177.0,140.0,56.4972,140.0,0
Montana De La Rosa,Ariane Lipski,-114.0,195.0,87.7193,195.0,1
Tanner Boser,Ilir Latifi,-200.0,160.0,50.0,160.0,0
Francisco Trinaldo,Muslim Salikhov,180.0,-230.0,180.0,43.4783,0
Makwan Amirkhani,Kamuela Kirk,-230.0,180.0,43.4783,180.0,0
Manon Fiorot,Tabatha Ricci,-165.0,375.0,60.6061,375.0,1
Sean Woodson,Youssef Zalal,-200.0,160.0,50.0,160.0,1
Claudio Puelles,Jordan Leavitt,165.0,-215.0,165.0,46.5116,1
Rob Font,Cody Garbrandt,-130.0,110.0,76.9231,110.0,1
Yan Xiaonan,Carla Esparza,-137.0,117.0,72.9927,117.0,0
Justin Tafa,Jared Vanderaa,-178.0,157.0,56.1798,157.0,0
Felicia Spencer,Norma Dumont,-178.0,157.0,56.1798,157.0,0
Ricardo Ramos,Bill Algeo,125.0,-145.0,125.0,68.9655,1
Jack Hermansson,Edmen Shahbazyan,-132.0,112.0,75.7576,112.0,1
Ben Rothwell,Chris Barnett,-345.0,285.0,28.9855,285.0,1
Court McGee,Claudio Silva,105.0,-125.0,105.0,80.0,1
Bruno Silva,Victor Rodriguez,-355.0,295.0,28.169,295.0,1
Josh Culibao,Shayilan Nuerdanbieke,-235.0,195.0,42.5532,195.0,1
David Dvorak,Juancamilo Ronderos,-490.0,390.0,20.4082,390.0,1
Rafael Alves,Damir Ismagulov,400.0,-500.0,400.0,20.0,0
Charles Oliveira,Michael Chandler,-130.0,110.0,76.9231,110.0,1
Tony Ferguson,Beneil Dariush,127.0,-147.0,127.0,68.0272,0
Matt Schnell,Rogerio Bontorin,-165.0,145.0,60.6061,145.0,0
Katlyn Chookagian,Viviane Araujo,-127.0,107.0,78.7402,107.0,1
Shane Burgos,Edson Barboza,-147.0,127.0,68.0272,127.0,0
Jacare Souza,Andre Muniz,-117.0,-103.0,85.4701,97.0874,0
Lando Vannata,Mike Grundy,105.0,-125.0,105.0,80.0,1
Jordan Wright,Jamie Pickett,-108.0,-112.0,92.5926,89.2857,1
Andrea Lee,Antonina Shevchenko,100.0,-120.0,100.0,83.3333,1
Gina Mazany,Priscila Cachoeira,-235.0,195.0,42.5532,195.0,0
Kevin Aguilar,Tucker Lutz,120.0,-140.0,120.0,71.4286,0
Christos Giagos,Sean Soriano,-225.0,185.0,44.4444,185.0,1
Marina Rodriguez,Michelle Waterson,-235.0,195.0,42.5532,195.0,1
Donald Cerrone,Alex Morono,-150.0,130.0,66.6667,130.0,0
Neil Magny,Geoff Neal,155.0,-200.0,155.0,50.0,1
Maurice Greene,Marcos Rogerio de Lima,157.0,-177.0,157.0,56.4972,0
Diego Ferreira,Gregor Gillespie,122.0,-142.0,122.0,70.4225,0
Phil Hawes,Kyle Daukaus,132.0,-152.0,132.0,65.7895,1
Ludovit Klein,Michael Trizano,-250.0,210.0,40.0,210.0,0
Junyong Park,Tafon Nchukwi,135.0,-155.0,135.0,64.5161,1
Christian Aguilera,Carlston Harris,175.0,-210.0,175.0,47.619,0
Dominick Reyes,Jiri Prochazka,-120.0,100.0,83.3333,100.0,0
Giga Chikadze,Cub Swanson,-220.0,180.0,45.4545,180.0,1
Sean Strickland,Krzysztof Jotko,-245.0,205.0,40.8163,205.0,1
Merab Dvalishvili,Cody Stamann,-290.0,245.0,34.4828,245.0,1
Randa Markos,Luana Pinheiro,135.0,-155.0,135.0,64.5161,0
Kai Kamaka,TJ Brown,-162.0,142.0,61.7284,142.0,0
Poliana Botelho,Luana Carolina,-245.0,205.0,40.8163,205.0,0
Loma Lookboonmee,Sam Hughes,-420.0,335.0,23.8095,335.0,1
Andreas Michailidis,KB Bhullar,-190.0,165.0,52.6316,165.0,1
Luke Sanders,Felipe Colares,-127.0,107.0,78.7402,107.0,0
Kamaru Usman,Jorge Masvidal,-320.0,260.0,31.25,260.0,1
Zhang Weili,Rose Namajunas,-200.0,170.0,50.0,170.0,0
Valentina Shevchenko,Jessica Andrade,-450.0,360.0,22.2222,360.0,1
Uriah Hall,Chris Weidman,140.0,-160.0,140.0,62.5,1
Anthony Smith,Jimmy Crute,210.0,-250.0,210.0,40.0,1
Alex Oliveira,Randy Brown,105.0,-125.0,105.0,80.0,0
Dwight Grant,Stefan Sekulic,-175.0,155.0,57.1429,155.0,1
Karl Roberson,Brendan Allen,115.0,-135.0,115.0,74.0741,0
Pat Sabatini,Tristan Connelly,-240.0,200.0,41.6667,200.0,1
Danaa Batgerel,Kevin Natividad,-230.0,190.0,43.4783,190.0,1
Kazula Vargas,Rong Zhu,175.0,-210.0,175.0,47.619,1
Aori Qileng,Jeff Molina,100.0,-120.0,100.0,83.3333,0
Na Liang,Ariane Carnelossi,178.0,-215.0,178.0,46.5116,0
Robert Whittaker,Kelvin Gastelum,-245.0,205.0,40.8163,205.0,1
Andrei Arlovski,Chase Sherman,110.0,-130.0,110.0,76.9231,1
Abdul Razak Alhassan,Jacob Malkoun,-300.0,250.0,33.3333,250.0,0
Tracy Cortez,Justine Kish,-325.0,265.0,30.7692,265.0,1
Luis Pena,Alexander Munoz,-155.0,135.0,64.5161,135.0,1
Alexandr Romanov,Juan Espino,-160.0,140.0,62.5,140.0,1
Jessica Penne,Loopy Godinez,210.0,-250.0,210.0,40.0,1
Bartosz Fabinski,Gerald Meerschaert,-125.0,105.0,80.0,105.0,0
Austin Hubbard,Dakota Bush,-230.0,190.0,43.4783,190.0,1
Tony Gravely,Anthony Birchak,-390.0,320.0,25.641,320.0,1
Marvin Vettori,Kevin Holland,-290.0,245.0,34.4828,245.0,1
Arnold Allen,Sodiq Yusuff,135.0,-155.0,135.0,64.5161,1
Sam Alvey,Julian Marquez,125.0,-145.0,125.0,68.9655,0
Nina Nunes,Mackenzie Dern,-120.0,100.0,83.3333,100.0,0
Mike Perry,Daniel Rodriguez,100.0,-120.0,100.0,83.3333,0
Jim Miller,Joe Solecki,205.0,-245.0,205.0,40.8163,0
Scott Holtzman,Mateusz Gamrot,185.0,-225.0,185.0,44.4444,0
John Makdessi,Ignacio Bahamondes,170.0,-200.0,170.0,50.0,1
Yorgan De Castro,Jarjis Danho,-310.0,255.0,68.0272,255.0,0
Hunter Azure,Jack Shore,160.0,-185.0,160.0,54.0541,0
Luis Saldana,Jordan Griffin,-145.0,125.0,68.9655,125.0,1
Da-Un Jung,William Knight,-147.0,127.0,68.0272,127.0,1
Impa Kasanganay,Sasha Palatnikov,-250.0,210.0,40.0,210.0,1
Stipe Miocic,Francis Ngannou,117.0,-137.0,117.0,72.9927,0
Tyron Woodley,Vicente Luque,170.0,-200.0,170.0,50.0,0
Sean O'Malley,Thomas Almeida,-370.0,310.0,27.027,310.0,1
Gillian Robertson,Miranda Maverick,125.0,-145.0,125.0,68.9655,0
Jamie Mullarkey,Khama Worthy,115.0,-135.0,115.0,74.0741,1
Alonzo Menifield,Fabio Cherant,-275.0,235.0,36.3636,235.0,1
Jared Gooden,Abubakar Nurmagomedov,175.0,-210.0,175.0,47.619,0
Modestas Bukauskas,Michal Oleksiejczuk,157.0,-177.0,157.0,56.4972,0
Shane Young,Omar Morales,170.0,-200.0,170.0,50.0,0
Marc-Andre Barriault,Abu Azaitar,-127.0,107.0,78.7402,107.0,1
Derek Brunson,Kevin Holland,175.0,-210.0,175.0,47.619,1
Song Kenan,Max Griffin,165.0,-190.0,165.0,52.6316,0
Cheyanne Buys,Montserrat Conejo,-260.0,220.0,38.4615,220.0,0
Adrian Yanez,Gustavo Lopez,-215.0,178.0,46.5116,178.0,1
Tai Tuivasa,Harry Hunsucker,-430.0,345.0,23.2558,345.0,1
Marion Reneau,Macy Chiasson,185.0,-225.0,185.0,44.4444,0
Leonardo Santos,Grant Dawson,160.0,-185.0,160.0,54.0541,0
Trevin Giles,Roman Dolidze,-115.0,-105.0,86.9565,95.2381,1
Montel Jackson,Jesse Strader,-600.0,450.0,16.6667,450.0,1
Bruno Silva,JP Buys,115.0,-135.0,115.0,74.0741,1
Misha Cirkunov,Ryan Spann,-125.0,105.0,80.0,105.0,0
Dan Ige,Gavin Tucker,-190.0,165.0,52.6316,165.0,1
Jonathan Martinez,Davey Grant,-300.0,250.0,33.3333,250.0,0
Manel Kape,Matheus Nicolau,-130.0,110.0,76.9231,110.0,0
Angela Hill,Ashley Yoder,-330.0,270.0,30.303,270.0,1
Charles Jourdain,Marcelo Rojo,-300.0,250.0,33.3333,250.0,1
Rani Yahya,Ray Rodriguez,-270.0,230.0,37.037,230.0,1
Nasrat Haqparast,Rafa Garcia,-525.0,415.0,19.0476,415.0,1
Cortney Casey,JJ Aldrich,122.0,-142.0,122.0,70.4225,0
Gloria de Paula,Jinh Yu Frey,-200.0,170.0,50.0,170.0,0
Matthew Semelsberger,Jason Witt,-130.0,110.0,76.9231,110.0,1
Jan Blachowicz,Israel Adesanya,205.0,-245.0,205.0,40.8163,1
Amanda Nunes,Megan Anderson,-700.0,500.0,14.2857,500.0,1
Petr Yan,Aljamain Sterling,-122.0,102.0,81.9672,102.0,0
Islam Makhachev,Drew Dober,-460.0,365.0,21.7391,365.0,1
Thiago Santos,Aleksandar Rakic,160.0,-185.0,160.0,54.0541,0
Dominick Cruz,Casey Kenney,120.0,-140.0,120.0,71.4286,1
Song Yadong,Kyler Phillips,-220.0,180.0,45.4545,180.0,0
Joseph Benavidez,Askar Askarov,125.0,-145.0,125.0,68.9655,0
Rogerio Bontorin,Kai Kara-France,117.0,-137.0,117.0,72.9927,0
Tim Elliott,Jordan Espinosa,-155.0,135.0,64.5161,135.0,1
Kennedy Nzechukwu,Carlos Ulberg,190.0,-230.0,190.0,43.4783,1
Sean Brady,Jake Matthews,-220.0,180.0,45.4545,180.0,1
Livinha Souza,Amanda Lemos,200.0,-240.0,200.0,41.6667,0
Uros Medic,Aalon Cruz,-200.0,170.0,50.0,170.0,1
Mario Bautista,Trevin Jones,-240.0,200.0,41.6667,200.0,0
Jairzinho Rozenstruik,Ciryl Gane,185.0,-225.0,185.0,44.0,0
Nikita Krylov,Magomed Ankalaev,250.0,-300.0,250.0,33.0,0
Pedro Munhoz,Jimmie Rivera,115.0,-135.0,115.0,74.0,1
Alex Caceres,Kevin Croom,-150.0,130.0,66.0,130.0,1
Alexander Hernandez,Thiago Moises,-220.0,180.0,45.0,180.0,0
Alexis Davis,Sabina Mazo,178.0,-215.0,178.0,46.0,1
Vince Cachero,Ronnie Lawrence,160.0,-185.0,160.0,54.0,0
Dustin Jacoby,Maxim Grishin,-157.0,137.0,63.0,137.0,1
Curtis Blaydes,Derrick Lewis,-400.0,300.0,25.0,300.0,0
Ketlen Vieira,Yana Kunitskaya,-278.0,215.0,35.9712,215.0,0
Charles Rosa,Darrick Minner,-190.0,150.0,52.6316,150.0,0
Aleksei Oleinik,Chris Daukaus,140.0,-177.0,140.0,56.4972,0
Phil Hawes,Nassourdine Imavov,-125.0,-105.0,80.0,95.2381,1
Andrei Arlovski,Tom Aspinall,200.0,-265.0,200.0,37.7358,0
Jared Gordon,Danny Chavez,110.0,-139.0,110.0,71.9424,1
Eddie Wineland,John Castaneda,100.0,-125.0,100.0,80.0,0
Nate Landwehr,Julian Erosa,-112.0,-112.0,89.2857,89.2857,0
Shana Dobson,Casey O'Neill,125.0,-155.0,125.0,64.5161,0
Aiemann Zahabi,Drako Rodriguez,150.0,-190.0,150.0,52.6316,1
Serghei Spivac,Jared Vanderaa,-250.0,195.0,40.0,195.0,1
Kamaru Usman,Gilbert Burns,-278.0,228.0,35.9712,228.0,1
Maycee Barber,Alexa Grasso,-107.0,-107.0,93.4579,93.4579,0
Kelvin Gastelum,Ian Heinisch,-205.0,174.0,48.7805,174.0,1
Ricky Simon,Brian Kelleher,-253.0,210.0,39.5257,210.0,1
Maki Pitolo,Julian Marquez,145.0,-177.0,145.0,56.4972,0
Rodolfo Vieira,Anthony Hernandez,-487.0,365.0,20.5339,365.0,0
Belal Muhammad,Dhiego Lima,-447.0,340.0,22.3714,340.0,1
Polyana Viana,Mallory Martin,100.0,-115.0,100.0,86.9565,1
Andre Ewell,Chris Gutierrez,112.0,-129.0,112.0,77.5194,0
Gabe Green,Philip Rowe,-138.0,120.0,72.4638,120.0,1
Alistair Overeem,Alexander Volkov,150.0,-182.0,150.0,54.9451,0
Cory Sandhagen,Frankie Edgar,-400.0,300.0,25.0,300.0,1
Alexandre Pantoja,Manel Kape,-125.0,100.0,80.0,100.0,1
Diego Ferreira,Beneil Dariush,-125.0,105.0,80.0,105.0,0
Michael Johnson,Clay Guida,-225.0,175.0,44.4444,175.0,0
Mike Rodriguez,Danilo Marques,-240.0,188.0,41.6667,188.0,0
Molly McCann,Lara Procopio,-177.0,140.0,56.4972,140.0,0
SeungWoo Choi,Youssef Zalal,175.0,-230.0,175.0,43.4783,1
Dustin Poirier,Conor McGregor,250.0,-305.0,250.0,32.7869,1
Dan Hooker,Michael Chandler,-134.0,105.0,74.6269,105.0,0
Jessica Eye,Joanne Calderwood,-105.0,-117.0,95.2381,85.4701,0
Andrew Sanchez,Makhmud Muradov,115.0,-143.0,115.0,69.9301,0
Marina Rodriguez,Amanda Ribas,250.0,-335.0,250.0,29.8507,1
Brad Tavares,Antonio Carlos Junior,-134.0,105.0,74.6269,105.0,1
Julianna Pena,Sara McMann,105.0,-130.0,105.0,76.9231,1
Khalil Rountree Jr.,Marcin Prachnio,-335.0,250.0,29.8507,250.0,0
Nik Lentz,Movsar Evloev,390.0,-560.0,390.0,17.8571,0
Amir Albazi,Zhalgas Zhumagulov,-106.0,-118.0,94.3396,84.7458,1
Michael Chiesa,Neil Magny,120.0,-148.0,120.0,67.5676,1
Warlley Alves,Mounir Lazzez,185.0,-230.0,185.0,43.4783,1
Ike Villanueva,Vinicius Moreira,-134.0,110.0,74.6269,110.0,1
Roxanne Modafferi,Viviane Araujo,260.0,-335.0,260.0,29.8507,0
Matt Schnell,Tyson Nam,105.0,-130.0,105.0,76.9231,1
Lerone Murphy,Douglas Silva de Andrade,-305.0,240.0,32.7869,240.0,1
Omari Akhmedov,Tom Breese,128.0,-159.0,128.0,62.8931,1
Ricky Simon,Gaetano Pirrello,-400.0,300.0,25.0,300.0,1
Su Mudaerji,Zarrukh Adashev,-400.0,300.0,25.0,300.0,1
Dalcha Lungiambula,Markus Perez,-143.0,115.0,69.9301,115.0,1
Francisco Figueiredo,Jerome Rivera,-155.0,125.0,64.5161,125.0,1
Mike Davis,Mason Jones,-175.0,135.0,57.1429,135.0,0
Umar Nurmagomedov,Sergey Morozov,-530.0,375.0,18.8679,375.0,1
Victoria Leonardo,Manon Fiorot,170.0,-215.0,170.0,46.5116,0
Max Holloway,Calvin Kattar,-162.0,138.0,61.7284,138.0,1
Carlos Condit,Matt Brown,-177.0,145.0,56.4972,145.0,1
Santiago Ponzinibbio,Li Jingliang,-305.0,240.0,32.7869,240.0,0
Joaquin Buckley,Alessio Di Chirico,-278.0,215.0,35.9712,215.0,0
Punahele Soriano,Dusko Todorovic,130.0,-159.0,130.0,62.8931,1
Wu Yanan,Joselyne Edwards,-110.0,-110.0,90.9091,90.9091,0
Carlos Felipe,Justin Tafa,-190.0,155.0,52.6316,155.0,1
David Zawada,Ramazan Emeev,210.0,-275.0,210.0,36.3636,0
Sarah Moras,Vanessa Melo,-230.0,180.0,43.4783,180.0,0
Jacob Kilburn,Austin Lingo,180.0,-230.0,180.0,43.4783,0
Stephen Thompson,Geoff Neal,-103.0,-117.0,97.0874,85.4701,1
Jose Aldo,Marlon Vera,-140.0,120.0,71.4286,120.0,1
Michel Pereira,Khaos Williams,105.0,-125.0,105.0,80.0,1
Marlon Moraes,Rob Font,-170.0,150.0,58.8235,150.0,0
Marcin Tybura,Greg Hardy,-110.0,-110.0,90.9091,90.9091,1
Anthony Pettis,Alex Morono,-210.0,175.0,47.619,175.0,1
