RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Alex Caceres,Rolando Dy,-320.0,260.0,31.25,260.0,1
Justin Scoggins,Ulka Sasaki,-525.0,415.0,19.0476,415.0,0
Kwan Ho Kwak,Russell Doane,-120.0,100.0,83.3333,100.0,0
Naoki Inoue,Carls John De Tomas,-275.0,235.0,36.3636,235.0,1
Ji Yeon Kim,Lucie Pudilova,100.0,-120.0,100.0,83.3333,0
Derrick Lewis,Mark Hunt,-150.0,130.0,66.6667,130.0,0
Derek Brunson,Daniel Kelly,-250.0,210.0,40.0,210.0,1
Dan Hooker,Ross Pearson,-145.0,125.0,68.9655,125.0,1
Ion Cutelaba,Henrique da Silva,-305.0,275.0,32.7869,275.0,1
Tim Elliott,Ben Nguyen,-170.0,160.0,58.8235,160.0,0
Alexander Volkanovski,Mizuto Hirota,-580.0,440.0,17.2414,440.0,1
Damien Brown,Vinc Pichel,105.0,-125.0,105.0,80.0,0
Luke Jumeau,Dominique Steele,175.0,-210.0,175.0,47.619,1
John Moraga,Ashkan Mokhtarian,-210.0,175.0,47.619,175.0,1
Kiichi Kunimoto,Zak Ottow,310.0,-370.0,310.0,27.027,0
JJ Aldrich,Chanmi Jeon,-200.0,170.0,50.0,170.0,1
Jose Aldo,Max Holloway,-145.0,125.0,68.9655,125.0,0
Claudia Gadelha,Karolina Kowalkiewicz,-280.0,240.0,35.7143,240.0,1
Vitor Belfort,Nate Marquardt,-180.0,158.0,55.5556,158.0,1
Paulo Costa,Oluwale Bamgbose,-265.0,225.0,37.7358,225.0,1
Erick Silva,Yancy Medeiros,120.0,-140.0,120.0,71.4286,0
Raphael Assuncao,Marlon Moraes,220.0,-260.0,220.0,38.4615,1
Johnny Eduardo,Matthew Lopez,-110.0,-110.0,90.9091,90.9091,0
Iuri Alcantara,Brian Kelleher,-380.0,315.0,26.3158,315.0,0
Viviane Pereira,Jamie Moyle,-180.0,158.0,55.5556,158.0,1
Luan Chagas,Jimmy Wallhead,-260.0,220.0,38.4615,220.0,1
Alexander Gustafsson,Glover Teixeira,-300.0,250.0,33.3333,250.0,1
Volkan Oezdemir,Misha Cirkunov,375.0,-470.0,375.0,21.2766,1
Peter Sobotta,Ben Saunders,-135.0,115.0,74.0741,115.0,1
Abdul Razak Alhassan,Omari Akhmedov,-275.0,235.0,36.3636,235.0,0
Oliver Enkamp,Nordine Taleb,275.0,-335.0,275.0,29.8507,0
Jack Hermansson,Alex Nicholson,-165.0,145.0,60.6061,145.0,1
Pedro Munhoz,Damian Stasiak,-670.0,485.0,14.9254,485.0,1
Trevor Smith,Chris Camozzi,130.0,-150.0,130.0,66.6667,1
Reza Madadi,Joaquim Silva,135.0,-155.0,135.0,64.5161,0
Nico Musoke,Bojan Velickovic,-130.0,110.0,76.9231,110.0,0
Darren Till,Jessin Ayari,-275.0,235.0,36.3636,235.0,1
Marcin Held,Damir Hadzovic,-290.0,245.0,34.4828,245.0,0
Stipe Miocic,Junior Dos Santos,-165.0,145.0,60.6061,145.0,1
Joanna Jedrzejczyk,Jessica Andrade,-190.0,165.0,52.6316,165.0,1
Demian Maia,Jorge Masvidal,-115.0,-105.0,86.9565,95.2381,1
Frankie Edgar,Yair Rodriguez,-140.0,120.0,71.4286,120.0,1
Krzysztof Jotko,David Branch,-170.0,150.0,58.8235,150.0,0
Chas Skelly,Jason Knight,-110.0,-110.0,90.9091,90.9091,0
Chase Sherman,Rashad Coulter,-110.0,-110.0,90.9091,90.9091,1
James Vick,Polo Reyes,-355.0,320.0,28.169,320.0,1
Jessica Aguilar,Cortney Casey,140.0,-160.0,140.0,62.5,0
Gabriel Benitez,Enrique Barzola,-135.0,115.0,74.0741,115.0,0
Joachim Christensen,Gadzhimurad Antigulov,315.0,-380.0,315.0,26.3158,0
Cub Swanson,Artem Lobov,-600.0,450.0,16.6667,450.0,1
Al Iaquinta,Diego Sanchez,-420.0,335.0,23.8095,335.0,1
Ovince Saint Preux,Marcos Rogerio de Lima,-160.0,140.0,62.5,140.0,1
John Dodson,Eddie Wineland,-400.0,325.0,25.0,325.0,1
Joe Lauzon,Stevie Ray,145.0,-165.0,145.0,60.6061,0
Jake Ellenberger,Mike Perry,105.0,-125.0,105.0,80.0,0
Thales Leites,Sam Alvey,-125.0,105.0,80.0,105.0,1
Dustin Ortiz,Brandon Moreno,-120.0,100.0,83.3333,100.0,0
Scott Holtzman,Michael McBride,-280.0,240.0,35.7143,240.0,1
Jessica Penne,Danielle Taylor,-110.0,-110.0,90.9091,90.9091,0
Alexis Davis,Cindy Dandois,-290.0,245.0,34.4828,245.0,1
Bryan Barberena,Joe Proctor,-330.0,270.0,30.303,270.0,1
Hector Sandoval,Matt Schnell,130.0,-150.0,130.0,66.6667,1
Demetrious Johnson,Wilson Reis,-1100.0,700.0,9.0909,700.0,1
Rose Namajunas,Michelle Waterson,110.0,-130.0,110.0,76.9231,1
Jacare Souza,Robert Whittaker,-265.0,225.0,37.7358,225.0,0
Jeremy Stephens,Renato Moicano,-170.0,150.0,58.8235,150.0,0
Alexander Volkov,Roy Nelson,-155.0,135.0,64.5161,135.0,1
Patrick Williams,Tom Duquesnoy,650.0,-1000.0,650.0,10.0,0
Bobby Green,Rashid Magomedov,270.0,-330.0,270.0,30.303,0
Louis Smolka,Tim Elliott,160.0,-185.0,160.0,54.0541,0
Aljamain Sterling,Augusto Mendes,-400.0,325.0,25.0,325.0,1
Devin Clark,Jake Collier,-140.0,120.0,71.4286,120.0,1
Anthony Smith,Andrew Sanchez,270.0,-330.0,270.0,30.303,1
Zak Cummings,Nathan Coy,-550.0,425.0,18.1818,425.0,1
Ashlee Evans-Smith,Ketlen Vieira,-165.0,145.0,60.6061,145.0,0
Daniel Cormier,Anthony Johnson,120.0,-140.0,120.0,71.4286,1
Chris Weidman,Gegard Mousasi,-105.0,-115.0,95.2381,86.9565,0
Cynthia Calvillo,Pearl Gonzalez,-280.0,240.0,35.7143,240.0,1
Thiago Alves,Patrick Cote,110.0,-130.0,110.0,76.9231,1
Will Brooks,Charles Oliveira,-220.0,180.0,45.4545,180.0,0
Myles Jury,Mike de la Torre,-450.0,360.0,22.2222,360.0,1
Kamaru Usman,Sean Strickland,-290.0,245.0,34.4828,245.0,1
Shane Burgos,Charles Rosa,-255.0,215.0,39.2157,215.0,1
Patrick Cummins,Jan Blachowicz,-105.0,-115.0,95.2381,86.9565,1
Gregor Gillespie,Andrew Holbrook,-290.0,245.0,34.4828,245.0,1
